

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2022.001                            
 Output using command file : PlotASCII_qe.cmd

 ASCII file created at : date          :22-Mar-2022
                         time          :10:55:45
 Project number                        :20024805
 Date of testing                       :21-Mar-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2022
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 qe                                    :Effective Cone Resistance, Effective Cone Resistance [MPa]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq         qe
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -        MPa
  571   11.400   2917.77     3.4172     0.0645    -0.1756     0.1140     3.3537     1.9873   182.4000     3.1713    -0.0836     3.5050
  572   11.420   2918.80     3.8263     0.0668    -0.1753     0.1142     3.7537     1.8255   182.7200     3.5710    -0.0804     3.9265
  573   11.440   2919.83     4.0643     0.0646    -0.1693     0.1144     3.9908     1.6115   183.0400     3.8078    -0.0760     4.1659
  574   11.460   2920.88     3.7366     0.0630    -0.1754     0.1146     3.6670     1.6413   183.3600     3.4836    -0.0806     3.8328
  575   11.480   2921.89     3.2530     0.0561    -0.1558     0.1148     3.1812     1.6254   183.6800     2.9976    -0.0953     3.3522
  576   11.500   2922.93     2.7591     0.0518    -0.0988     0.1150     2.7115     1.7501   184.0000     2.5275    -0.0903     2.8249
  577   11.520   2923.94     2.3733     0.0536     0.0043     0.1152     2.3490     2.1055   184.3200     2.1647    -0.0796     2.4069
  578   11.540   2924.97     2.4207     0.0474     0.1901     0.1154     2.4824     2.1101   184.6400     2.2977     0.0125     2.3356
  579   11.560   2926.03     3.2817     0.0708     0.1256     0.1156     3.3547     2.5190   184.9600     3.1697     0.0195     3.1809
  580   11.580   2927.04     4.9816     0.0803    -0.1163     0.1158     4.9749     1.8700   185.2800     4.7896    -0.0267     4.9910
  581   11.600   2928.06     5.2900     0.0861    -0.2189     0.1160     5.2033     1.5934   185.6000     5.0177    -0.0643     5.4097
  582   11.620   2929.10     4.4209     0.0868    -0.2292     0.1162     4.3249     1.7909   185.9200     4.1389    -0.0835     4.5536
  583   11.640   2930.13     3.5389     0.0917    -0.2401     0.1164     3.4366     2.3795   186.2400     3.2504    -0.1109     3.6801
  584   11.660   2931.19     2.9821     0.1013    -0.1918     0.1166     2.9050     3.2013   186.5600     2.7184    -0.1105     3.0887
  585   11.680   2932.21     3.0937     0.0915    -0.2079     0.1168     3.0045     3.1312   186.8800     2.8176    -0.1169     3.2169
  586   11.700   2933.23     3.1401     0.0756    -0.1715     0.1170     3.0743     2.3885   187.2000     2.8871    -0.0948     3.2310
  587   11.720   2934.25     2.8552     0.0578    -0.1805     0.1172     2.7805     1.9418   187.5200     2.5930    -0.1139     2.9584
  588   11.740   2935.28     2.4447     0.0545    -0.1007     0.1174     2.3892     2.1079   187.8400     2.2013    -0.1132     2.5213
  589   11.760   2936.34     2.0019     0.0548    -0.0377     0.1176     1.9719     2.4861   188.1600     1.7837    -0.1056     2.0434
  590   11.780   2937.36     1.7532     0.0529     0.2035     0.1178     1.8114     2.9325   188.4800     1.6230     0.0122     1.6728
  591   11.800   2938.37     1.9260     0.0476     0.2427     0.1180     2.0175     2.6215   188.8000     1.8287     0.0544     1.7996
  592   11.820   2939.39     2.0003     0.0464     0.2542     0.1182     2.1111     2.3235   189.1200     1.9220     0.0758     1.8472
  593   11.840   2940.41     1.9628     0.0540     0.2655     0.1184     2.0756     2.7132   189.4400     1.8861     0.0796     1.8070
  594   11.860   2941.44     1.9281     0.0563     0.2588     0.1186     2.0301     2.9760   189.7600     1.8403     0.0674     1.7873
  595   11.880   2942.47     2.2456     0.0668     0.3152     0.1188     2.3733     3.2094   190.0800     2.1832     0.0847     2.0693
  596   11.900   2943.51     2.8448     0.0700     0.3431     0.1190     2.9829     2.7008   190.4000     2.7925     0.0752     2.6541
  597   11.920   2944.55     4.2275     0.0749     0.3070     0.1192     4.3669     2.1044   190.7200     4.1762     0.0516     4.0351
  598   11.940   2945.58     6.0744     0.0699     0.2159     0.1194     6.2118     1.3101   191.0400     6.0208     0.0345     5.8846
  599   11.960   2946.62     6.8938     0.0701    -0.2097     0.1196     6.8444     1.0399   191.3600     6.6530    -0.0356     6.9620
  600   11.980   2947.68     6.7751     0.0721    -0.2548     0.1198     6.6689     1.0407   191.6800     6.4772    -0.0575     6.9217
  601   12.000   2948.73     6.5266     0.0880    -0.2540     0.1200     6.4220     1.3227   192.0000     6.2300    -0.0593     6.6711
  602   12.020   2949.72     6.1739     0.1105    -0.2640     0.1202     6.0680     1.7337   192.3200     5.8757    -0.0634     6.3202
  603   12.040   2950.75     5.2502     0.1220    -0.2757     0.1204     5.1347     2.1446   192.6400     4.9421    -0.0802     5.4098
  604   12.060   2951.78     4.1474     0.0992    -0.2728     0.1206     4.0323     2.1532   192.9600     3.8393    -0.1031     4.3065
  605   12.080   2952.80     3.2906     0.0799    -0.2587     0.1208     3.1790     2.1807   193.2800     2.9857    -0.1299     3.4447
  606   12.100   2953.81     2.5408     0.0654    -0.2144     0.1210     2.4407     2.2940   193.6000     2.2471    -0.1601     2.6791
  607   12.120   2954.86     1.9803     0.0491    -0.1645     0.1212     1.9068     2.2204   193.9200     1.7129    -0.1734     2.0817
  608   12.140   2955.88     1.6470     0.0405    -0.0314     0.1214     1.6085     2.3272   194.2400     1.4143    -0.1502     1.7002
  609   12.160   2956.94     1.6262     0.0392     0.1666     0.1216     1.6752     2.4741   194.5600     1.4807    -0.0044     1.5586
  610   12.180   2957.93     1.8763     0.0362     0.2002     0.1218     1.9619     2.0738   194.8800     1.7670     0.0466     1.7581
  611   12.200   2958.96     1.9686     0.0346     0.1520     0.1220     2.0394     1.7369   195.2000     1.8442     0.0247     1.8709
  612   12.220   2960.00     1.8307     0.0350     0.2281     0.1222     1.9138     1.8582   195.5200     1.7183     0.0442     1.7159
  613   12.240   2961.05     1.6900     0.0339     0.3032     0.1224     1.8112     1.9199   195.8400     1.6154     0.1030     1.5227
  614   12.260   2962.06     1.5684     0.0281     0.3441     0.1226     1.7060     1.7369   196.1600     1.5098     0.1359     1.3784
  615   12.280   2963.09     1.4977     0.0275     0.3514     0.1228     1.6457     1.8097   196.4800     1.4492     0.1583     1.2935
  616   12.300   2964.09     1.5141     0.0357     0.3715     0.1230     1.6643     2.3703   196.8000     1.4675     0.1599     1.3067
  617   12.320   2965.11     1.6274     0.0518     0.4275     0.1232     1.7982     3.3677   197.1200     1.6010     0.1770     1.3916
  618   12.340   2966.16     2.2037     0.0659     0.4182     0.1234     2.3927     3.4536   197.4400     2.1953     0.1488     1.9428
  619   12.360   2967.22     2.9444     0.0699     0.2961     0.1236     3.1017     2.6234   197.7600     2.9040     0.0865     2.7271
  620   12.380   2968.25     3.4919     0.0829     0.0648     0.1238     3.5364     2.4947   198.0800     3.3383    -0.0053     3.4306
  621   12.400   2969.26     3.7552     0.0920     0.0797     0.1240     3.7717     2.5200   198.4000     3.5733    -0.0239     3.7325
  622   12.420   2970.32     4.1498     0.1078     0.2162     0.1242     4.2206     2.7314   198.7200     4.0219     0.0107     4.0521
  623   12.440   2971.33     5.1446     0.1231     0.2914     0.1244     5.2662     2.5620   199.0400     5.0672     0.0326     4.9767
  624   12.460   2972.37     6.3902     0.1195    -0.1139     0.1246     6.3973     1.9711   199.3600     6.1979    -0.0167     6.3804
  625   12.480   2973.43     7.5194     0.1159    -0.2138     0.1248     7.4328     1.5936   199.6800     7.2331    -0.0458     7.6391
  626   12.500   2974.49     8.1662     0.1135    -0.2296     0.1250     8.0714     1.4147   200.0000     7.8714    -0.0446     8.2970
  627   12.520   2975.52     8.6090     0.1234    -0.2362     0.1252     8.5099     1.4578   200.3200     8.3096    -0.0435     8.7458
  628   12.540   2976.62     9.4857     0.1187    -0.2343     0.1254     9.3897     1.3026   200.6400     9.1890    -0.0385     9.6182
  629   12.560   2977.66    10.5705     0.0999    -0.2543     0.1256    10.4700     1.0043   200.9600    10.2691    -0.0355    10.7093
  630   12.580   2978.73    11.9741     0.0777    -0.2857     0.1258    11.8562     0.6930   201.2800    11.6549    -0.0349    12.1370
  631   12.600   2979.78    13.4902     0.0653    -0.2854     0.1260    13.3710     0.4962   201.6000    13.1694    -0.0311    13.6548
  632   12.620   2980.84    15.1271     0.0713    -0.2640     0.1262    15.0120     0.4901   201.9200    14.8100    -0.0271    15.2862
  633   12.640   2981.87    16.9899     0.0837    -0.2255     0.1264    16.8888     0.5121   202.2400    16.6866    -0.0220    17.1296
  634   12.660   2985.69    18.5128     0.1076    -0.2130     0.1266    18.4172     0.5961   202.5600    18.2146    -0.0195    18.6449
  635   12.680   3002.68    19.4149     0.1356    -0.1704     0.1268    19.3371     0.7387   202.8800    19.1343    -0.0165    19.5223
  636   12.700   3019.19    20.2930     0.1585    -0.1425     0.1270    20.2326     0.8207   203.2000    20.0294    -0.0135    20.3763
  637   12.720   3020.14    20.2235     0.1771    -0.1594     0.1272    20.1583     0.8738   203.5200    19.9548    -0.0142    20.3135
  638   12.740   3021.14    19.6978     0.1891    -0.1862     0.1274    19.6228     0.9529   203.8400    19.4189    -0.0158    19.8015
  639   12.760   3022.08    18.8078     0.1884    -0.1664     0.1276    18.7359     0.9950   204.1600    18.5317    -0.0161    18.9072
  640   12.780   3023.08    17.4542     0.1836    -0.1544     0.1278    17.3858     1.0466   204.4800    17.1813    -0.0169    17.5486
  641   12.800   3024.04    15.9695     0.1754    -0.1299     0.1280    15.9119     1.0480   204.8000    15.7071    -0.0169    16.0490
  642   12.820   3025.04    14.4495     0.1661    -0.1160     0.1282    14.3979     1.1016   205.1200    14.1928    -0.0177    14.5208
  643   12.840   3026.07    13.0928     0.1534    -0.0966     0.1284    13.0509     1.1302   205.4400    12.8455    -0.0178    13.1507
  644   12.860   3027.05    11.9473     0.1367    -0.0786     0.1286    11.9093     1.1033   205.7600    11.7036    -0.0187    11.9997
  645   12.880   3028.10    10.9830     0.1187    -0.0603     0.1288    10.9550     1.0505   206.0800    10.7489    -0.0182    11.0217
  646   12.900   3029.16    10.3433     0.1100    -0.0458     0.1290    10.3190     1.0399   206.4000    10.1126    -0.0185    10.3768
  647   12.920   3030.21     9.9776     0.1044    -0.0296     0.1292     9.9622     1.0327   206.7200     9.7555    -0.0170     9.9988
  648   12.940   3031.24     9.8927     0.0923    -0.0277     0.1294     9.8821     0.9314   207.0400     9.6751    -0.0160     9.9072
  649   12.960   3032.26     9.9601     0.0799    -0.0564     0.1296     9.9401     0.8053   207.3600     9.7327    -0.0182     9.9878
  650   12.980   3033.32    10.0892     0.0741    -0.0926     0.1298    10.0564     0.7399   207.6800     9.8487    -0.0211    10.1345
  651   13.000   3034.38    10.3456     0.0719    -0.1743     0.1300    10.2813     0.7013   208.0000    10.0733    -0.0281    10.4342
  652   13.020   3035.37    10.5339     0.0723    -0.2442     0.1302    10.4368     0.6901   208.3200    10.2285    -0.0353    10.6680
  653   13.040   3036.42    10.6833     0.0714    -0.2302     0.1304    10.5891     0.6706   208.6400    10.3804    -0.0342    10.8134
  654   13.060   3037.50    10.6821     0.0834    -0.2658     0.1306    10.5736     0.7790   208.9600    10.3646    -0.0375    10.8319
  655   13.080   3038.51    10.3629     0.1156    -0.2726     0.1308    10.2477     1.1024   209.2800    10.0385    -0.0403    10.5218
  656   13.100   3039.57    10.2351     0.1283    -0.2614     0.1310    10.1227     1.2504   209.6000     9.9131    -0.0402    10.3904
  657   13.120   3040.65    10.3367     0.1114    -0.2342     0.1312    10.2366     1.0839   209.9200    10.0267    -0.0369    10.4749
  658   13.140   3041.67    10.5471     0.0991    -0.2457     0.1314    10.4508     0.9462   210.2400    10.2406    -0.0352    10.6801
  659   13.160   3042.76    10.6223     0.0842    -0.2769     0.1316    10.5085     0.7927   210.5600    10.2979    -0.0391    10.7795
  660   13.180   3043.75    10.5932     0.0752    -0.2800     0.1318    10.4753     0.7097   210.8800    10.2644    -0.0402    10.7561
  661   13.200   3044.83    10.6341     0.0674    -0.2674     0.1320    10.5199     0.6353   211.2000    10.3087    -0.0392    10.7918
  662   13.220   3045.89    10.6526     0.0723    -0.2654     0.1322    10.5427     0.6786   211.5200    10.3312    -0.0381    10.8043
  663   13.240   3046.94    10.4494     0.0613    -0.2764     0.1324    10.3339     0.5813   211.8400    10.1220    -0.0403    10.6090
  664   13.260   3047.98    10.3084     0.0554    -0.2773     0.1326    10.1926     0.5348   212.1600     9.9804    -0.0409    10.4683
  665   13.280   3049.03    10.2461     0.0487    -0.2803     0.1328    10.1288     0.4752   212.4800     9.9164    -0.0415    10.4080
  666   13.300   3050.06    10.2425     0.0431    -0.2882     0.1330    10.1233     0.4199   212.8000     9.9105    -0.0421    10.4072
  667   13.320   3051.09    10.0384     0.0475    -0.2922     0.1332     9.9143     0.4667   213.1200     9.7012    -0.0442    10.2097
  668   13.340   3052.12     9.4641     0.0532    -0.2880     0.1334     9.3433     0.5476   213.4400     9.1299    -0.0461     9.6310
  669   13.360   3053.17     8.8616     0.0692    -0.2862     0.1336     8.7418     0.7628   213.7600     8.5280    -0.0491     9.0270
  670   13.380   3054.19     8.3426     0.0883    -0.2824     0.1338     8.2238     1.0356   214.0800     8.0097    -0.0520     8.5068
  671   13.400   3055.23     7.8889     0.0893    -0.2801     0.1340     7.7700     1.1126   214.4000     7.5556    -0.0552     8.0532
  672   13.420   3056.28     7.6739     0.0725    -0.2782     0.1342     7.5569     0.9395   214.7200     7.3422    -0.0562     7.8354
  673   13.440   3057.30     7.7854     0.0625    -0.2696     0.1344     7.6707     0.8148   215.0400     7.4556    -0.0547     7.9439
  674   13.460   3058.38     8.5101     0.0561    -0.2554     0.1346     8.4010     0.6811   215.3600     8.1856    -0.0482     8.6608
  675   13.480   3059.42     9.6026     0.0546    -0.2471     0.1348     9.4969     0.5867   215.6800     9.2813    -0.0417     9.7484
  676   13.500   3060.50    10.7131     0.0517    -0.2429     0.1350    10.6124     0.4992   216.0000    10.3964    -0.0360    10.8520
  677   13.520   3061.55    11.5670     0.0419    -0.2539     0.1352    11.4621     0.3699   216.3200    11.2458    -0.0342    11.7120
  678   13.540   3062.61    12.1858     0.0369    -0.2628     0.1354    12.0759     0.3067   216.6400    11.8593    -0.0335    12.3376
  679   13.560   3063.66    12.3145     0.0410    -0.2702     0.1356    12.2022     0.3321   216.9600    11.9853    -0.0336    12.4696
  680   13.580   3064.69    12.0550     0.0484    -0.2737     0.1358    11.9396     0.3970   217.2800    11.7223    -0.0350    12.2142
  681   13.600   3065.66    11.7520     0.0516    -0.2708     0.1360    11.6369     0.4360   217.6000    11.4193    -0.0359    11.9110
  682   13.620   3066.76    11.6574     0.0601    -0.2646     0.1362    11.5452     0.5142   217.9200    11.3273    -0.0356    11.8124
  683   13.640   3067.85    11.5427     0.0689    -0.2611     0.1364    11.4320     0.5950   218.2400    11.2138    -0.0357    11.6955
  684   13.660   3068.89    11.4734     0.0697    -0.2578     0.1366    11.3647     0.6070   218.5600    11.1462    -0.0355    11.6235
  685   13.680   3069.91    11.4321     0.0685    -0.2627     0.1368    11.3227     0.5983   218.8800    11.1038    -0.0358    11.5832
  686   13.700   3070.95    11.4943     0.0654    -0.2613     0.1370    11.3843     0.5706   219.2000    11.1651    -0.0357    11.6462
  687   13.720   3072.04    11.6732     0.0587    -0.2568     0.1372    11.5653     0.5041   219.5200    11.3458    -0.0347    11.8223
  688   13.740   3073.11    11.7802     0.0522    -0.2538     0.1374    11.6719     0.4434   219.8400    11.4521    -0.0345    11.9298
  689   13.760   3074.15    11.6841     0.0589    -0.2554     0.1376    11.5766     0.5011   220.1600    11.3564    -0.0347    11.8326
  690   13.780   3075.20    11.4312     0.0750    -0.2544     0.1378    11.3230     0.6526   220.4800    11.1025    -0.0356    11.5806
  691   13.800   3076.23    11.3625     0.0885    -0.2562     0.1380    11.2562     0.7777   220.8000    11.0354    -0.0355    11.5094
  692   13.820   3077.33    11.5489     0.0945    -0.2525     0.1382    11.4425     0.8275   221.1200    11.2213    -0.0349    11.6958
  693   13.840   3078.39    12.1827     0.0978    -0.2478     0.1384    12.0785     0.8232   221.4400    11.8570    -0.0326    12.3267
  694   13.860   3079.42    13.1702     0.0903    -0.2467     0.1386    13.0663     0.7034   221.7600    12.8445    -0.0301    13.3138
  695   13.880   3080.48    14.3341     0.0790    -0.2384     0.1388    14.2325     0.5565   222.0800    14.0105    -0.0272    14.4743
  696   13.900   3081.52    15.5841     0.0733    -0.2271     0.1390    15.4882     0.4751   222.4000    15.2658    -0.0241    15.7165
  697   13.920   3082.59    16.7389     0.0756    -0.2174     0.1392    16.6447     0.4575   222.7200    16.4219    -0.0222    16.8691
  698   13.940   3083.56    17.8267     0.0871    -0.2189     0.1394    17.7356     0.4941   223.0400    17.5126    -0.0203    17.9524
  699   13.960   3084.54    18.5861     0.1052    -0.2180     0.1396    18.4943     0.5692   223.3600    18.2709    -0.0196    18.7128
  700   13.980   3085.50    19.0938     0.1227    -0.2210     0.1398    19.0035     0.6458   223.6800    18.7798    -0.0189    19.2185
  701   14.000   3086.50    19.3778     0.1425    -0.2415     0.1400    19.2775     0.7376   224.0000    19.0535    -0.0199    19.5164
  702   14.020   3087.48    19.5561     0.1598    -0.2432     0.1402    19.4541     0.8181   224.3200    19.2298    -0.0199    19.6969
  703   14.040   3088.48    19.6782     0.1736    -0.2454     0.1404    19.5755     0.8830   224.6400    19.3509    -0.0199    19.8200
  704   14.060   3089.46    19.7398     0.1801    -0.2451     0.1406    19.6367     0.9125   224.9600    19.4118    -0.0199    19.8821
  705   14.080   3090.47    19.6621     0.1870    -0.2394     0.1408    19.5605     0.9501   225.2800    19.3352    -0.0198    19.8024
  706   14.100   3091.41    19.4409     0.1906    -0.2274     0.1410    19.3440     0.9780   225.6000    19.1184    -0.0194    19.5747
  707   14.120   3092.40    19.1022     0.1915    -0.2191     0.1412    19.0086     1.0009   225.9200    18.7827    -0.0194    19.2313
  708   14.140   3093.39    18.6263     0.1830    -0.2106     0.1414    18.5365     0.9807   226.2400    18.3102    -0.0194    18.7504
  709   14.160   3094.39    18.0841     0.1749    -0.1972     0.1416    17.9986     0.9605   226.5600    17.7721    -0.0194    18.2021
  710   14.180   3095.40    17.5303     0.1659    -0.1843     0.1418    17.4509     0.9415   226.8800    17.2241    -0.0192    17.6399
  711   14.200   3096.36    17.0117     0.1592    -0.1734     0.1420    16.9373     0.9320   227.2000    16.7101    -0.0191    17.1145
  712   14.220   3097.36    16.4479     0.1539    -0.1494     0.1422    16.3804     0.9278   227.5200    16.1529    -0.0187    16.5411
  713   14.240   3098.42    15.8293     0.1458    -0.1329     0.1424    15.7720     0.9132   227.8400    15.5442    -0.0179    15.9085
  714   14.260   3099.35    15.1972     0.1395    -0.1136     0.1426    15.1452     0.9108   228.1600    14.9171    -0.0179    15.2690
  715   14.280   3100.32    14.5116     0.1342    -0.0978     0.1428    14.4673     0.9029   228.4800    14.2388    -0.0174    14.5727
  716   14.300   3101.31    13.8777     0.1320    -0.0846     0.1430    13.8409     0.9319   228.8000    13.6121    -0.0169    13.9284
  717   14.320   3102.29    13.3248     0.1319    -0.0766     0.1432    13.2929     0.9748   229.1200    13.0638    -0.0168    13.3689
  718   14.340   3103.31    12.7573     0.1301    -0.0415     0.1434    12.7341     1.0032   229.4400    12.5046    -0.0159    12.7893
  719   14.360   3104.35    12.1841     0.1235    -0.0251     0.1436    12.1713     0.9974   229.7600    11.9415    -0.0146    12.2019
  720   14.380   3105.41    11.7306     0.1137    -0.0071     0.1438    11.7248     0.9584   230.0800    11.4947    -0.0137    11.7387
  721   14.400   3106.47    11.4478     0.1034    -0.0040     0.1440    11.4445     0.8965   230.4000    11.2141    -0.0135    11.4524
  722   14.420   3107.51    11.2418     0.0922     0.0228     0.1442    11.2486     0.8151   230.7200    11.0179    -0.0116    11.2323
  723   14.440   3108.53    10.9757     0.0855     0.0218     0.1444    10.9848     0.7729   231.0400    10.7538    -0.0114    10.9631
  724   14.460   3109.56    10.7262     0.0804     0.0204     0.1446    10.7350     0.7421   231.3600    10.5036    -0.0118    10.7141
  725   14.480   3110.61    10.4982     0.0720     0.0098     0.1448    10.5036     0.6833   231.6800    10.2720    -0.0128    10.4907
  726   14.500   3111.68    10.4173     0.0628    -0.0178     0.1450    10.4137     0.6016   232.0000    10.1817    -0.0151    10.4223
  727   14.520   3112.74    10.4579     0.0571    -0.0283     0.1452    10.4480     0.5464   232.3200    10.2157    -0.0165    10.4716
  728   14.540   3113.79    10.5301     0.0505    -0.0394     0.1454    10.5139     0.4805   232.6400    10.2812    -0.0179    10.5526
  729   14.560   3114.82    10.5912     0.0439    -0.0609     0.1456    10.5675     0.4146   232.9600    10.3345    -0.0195    10.6239
  730   14.580   3115.85    10.4670     0.0431    -0.1350     0.1458    10.4214     0.4099   233.2800    10.1881    -0.0250    10.5301
  731   14.600   3116.94    10.0503     0.0593    -0.1493     0.1460     9.9888     0.5806   233.6000     9.7552    -0.0300    10.1352
  732   14.620   3121.61     9.2849     0.0688    -0.1254     0.1462     9.2189     0.7260   233.9200     8.9850    -0.0332     9.3760
  733   14.640   3138.50     8.4493     0.0834    -0.0336     0.1464     8.4219     0.8794   234.2400     8.1876    -0.0241     8.4872
  734   14.660   3155.39     7.6137     0.1045     0.0581     0.1466     7.6248     1.1020   234.5600     7.3902    -0.0149     7.5984
  735   14.680   3166.14     6.7372     0.0934     0.0923     0.1468     6.7768     1.3417   234.8800     6.5419    -0.0080     6.6825
  736   14.700   3167.21     6.2299     0.0924     0.1151     0.1470     6.2729     1.4648   235.2000     6.0377    -0.0074     6.1705
  737   14.720   3168.24     7.3311     0.0808     0.1512     0.1472     7.3768     1.1649   235.5200     7.1413    -0.0054     7.2679
  738   14.740   3169.33     9.1843     0.0805     0.2233     0.1474     9.2524     0.9561   235.8400     9.0166     0.0014     9.0902
  739   14.760   3170.39    11.3169     0.0790     0.0352     0.1476    11.3518     0.7577   236.1600    11.1156    -0.0057    11.2688
  740   14.780   3171.45    13.2768     0.0740    -0.0849     0.1478    13.2431     0.5847   236.4800    13.0066    -0.0175    13.3234
  741   14.800   3172.51    15.3846     0.0605    -0.1192     0.1480    15.3391     0.3973   236.8000    15.1023    -0.0169    15.4474
  742   14.820   3173.55    17.8987     0.0678    -0.1394     0.1482    17.8509     0.3850   237.1200    17.6138    -0.0149    17.9648
  743   14.840   3174.54    20.4634     0.0750    -0.2177     0.1484    20.3788     0.3701   237.4400    20.1413    -0.0174    20.5803
  744   14.860   3175.56    23.0521     0.0704    -0.2613     0.1486    22.9460     0.3129   237.7600    22.7082    -0.0177    23.1987
  745   14.880   3176.56    25.0854     0.0613    -0.2557     0.1488    24.9761     0.2484   238.0800    24.7380    -0.0165    25.2364
  746   14.900   3177.54    26.8267     0.0597    -0.2219     0.1490    26.7297     0.2296   238.4000    26.4913    -0.0144    26.9607
  747   14.920   3178.55    28.4675     0.0657    -0.1826     0.1492    28.3872     0.2378   238.7200    28.1485    -0.0121    28.5784
  748   14.940   3179.58    30.5335     0.0807    -0.1728     0.1494    30.4539     0.2728   239.0400    30.2149    -0.0112    30.6434
  749   14.960   3180.65    32.9037     0.0871    -0.1585     0.1496    32.8414     0.2672   239.3600    32.6021    -0.0091    32.9898
  750   14.980   3181.65    35.2817     0.0892    -0.1399     0.1498    35.2249     0.2546   239.6800    34.9852    -0.0081    35.3601
  751   15.000   3182.68    36.9774     0.0950    -0.1934     0.1500    36.9064     0.2627   240.0000    36.6664    -0.0087    37.0754
  752   15.020   3183.71    37.8926     0.1025    -0.2610     0.1502    37.7891     0.2715   240.3200    37.5488    -0.0106    38.0354
  753   15.040   3184.66    38.2988     0.1079    -0.2648     0.1504    38.1888     0.2832   240.6400    37.9482    -0.0109    38.4507
  754   15.060   3185.71    39.0254     0.1028    -0.2165     0.1506    38.9341     0.2641   240.9600    38.6931    -0.0095    39.1515
  755   15.080   3186.66    38.5911     0.0902    -0.2046     0.1508    38.5026     0.2324   241.2800    38.2613    -0.0094    38.7132
  756   15.100   3187.76    37.7095     0.0911    -0.1698     0.1510    37.6329     0.2414   241.6000    37.3913    -0.0089    37.8153
  757   15.120   3188.76    36.9558     0.0953    -0.1639     0.1512    36.8857     0.2553   241.9200    36.6438    -0.0087    37.0527
  758   15.140   3189.77    36.4684     0.1002    -0.1636     0.1514    36.4040     0.2734   242.2400    36.1617    -0.0084    36.5575
  759   15.160   3190.78    36.4117     0.1058    -0.1265     0.1516    36.3541     0.2899   242.5600    36.1116    -0.0080    36.4913
  760   15.180   3191.79    36.4622     0.1115    -0.0699     0.1518    36.4231     0.3062   242.8800    36.1802    -0.0068    36.5162
  761   15.200   3192.82    36.9934     0.0980    -0.0484     0.1520    36.9739     0.2664   243.2000    36.7307    -0.0054    37.0204
  762   15.220   3193.88    38.6025     0.0850    -0.0459     0.1522    38.5956     0.2237   243.5200    38.3520    -0.0044    38.6121
  763   15.240   3194.93    40.3259     0.0745    -0.1425     0.1524    40.2785     0.1868   243.8400    40.0347    -0.0066    40.3914
  764   15.260   3195.98    41.6566     0.0575    -0.2100     0.1526    41.5733     0.1391   244.1600    41.3291    -0.0085    41.7717
  765   15.280   3197.04    43.0142     0.0457    -0.2043     0.1528    42.9250     0.1069   244.4800    42.6805    -0.0086    43.1375
  766   15.300   3198.10    44.6937     0.0418    -0.1775     0.1530    44.6133     0.0940   244.8000    44.3685    -0.0078    44.8046
  767   15.320   3199.20    45.6935               -0.1598     0.1532    45.6233              245.1200    45.3782    -0.0071    45.7905
  768   15.340   3200.24    46.1574               -0.1387     0.1534    46.1004              245.4400    45.8549    -0.0063    46.2361
  769   15.360   3201.35    46.5423               -0.1289     0.1536    46.4890              245.7600    46.2432    -0.0061    46.6161
  770   15.380   3202.49    46.8708               -0.1486     0.1538    46.8141              246.0800    46.5681    -0.0062    46.9490
  771   15.400   3203.50    47.3556               -0.1616     0.1540    47.2916              246.4000    47.0452    -0.0065    47.4441
  772   15.420   3204.59    47.6737                           0.1542    47.5965              246.7200    47.3498    -0.0071    47.7803
 
 
