index,depth,fr,delta_ord,orc,tf_sand,tf_clay,tf_adop_tension,tf_adop_compression,iz1,lc,qs_tension,qs_compression,qb1_clay,qb1_sand,qp_clay,qp_sand,Q_b_sand,Q_b_clay,ifr_value,diameter,are_value,area_value,dstar_value,depth,h,fr_percent,qt,gtot,u0_kpa,sig_v0,sig_v0_prime,qtn,n,bq,kc,qtc,,tipdepth,tension_capacity,compression_capacity,Q_shaft,Q_b
38,3.9,4.548791308,0,0,0,3.849775689,3.849775689,3.849775689,6.281523327,3.264680806,122.0508425,122.1307911,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.9,69.1,4.548791308,0.159367727,14.06268109,38.259,54.84445625,16.58545625,6.302104034,1,-0.366033322,1,0.159367727,,3.8,313.058322,313.3154077,122.1307911,191.1846166
39,4,3.970934126,0,0,0,4.138683094,4.138683094,4.138683094,6.747850432,3.204173747,126.6015622,126.6815108,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4,69,3.970934126,0.1712655,14.04480731,39.24,56.17922924,16.93922924,6.794067731,1,-0.340961609,1,0.1712655,,3.9,322.5022108,322.7592965,126.6815108,196.0777857
40,4.1,3.556508739,0,0,0,4.309390371,4.309390371,4.309390371,6.971857972,3.163698892,131.3399844,131.419933,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.1,68.9,3.556508739,0.178265,13.99022258,40.221,57.35991258,17.13891258,7.054419986,1,-0.332665902,1,0.178265,,4,332.7533665,333.0104522,131.419933,201.5905192
41,4.2,3.939196049,0,0,0,4.022400318,4.022400318,4.022400318,6.150646859,3.235070269,135.7628446,135.8427932,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.2,68.8,3.939196049,0.166332778,13.94851801,41.202,58.58377564,17.38177564,6.198964052,1,-0.382388691,1,0.166332778,,4.1,343.4757301,343.7328158,135.8427932,207.8900226
42,4.3,4.897184785,0,0,0,3.782484426,3.782484426,3.782484426,5.261069741,3.346455193,139.9219034,140.001852,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.3,68.7,4.897184785,0.156355,14.04220759,42.183,60.38149264,18.19849264,5.273706415,1,-0.439527544,1,0.156355,,4.2,353.2377646,353.4948503,140.001852,213.4929983
43,4.4,5.144891463,0,0,0,3.85546859,3.85546859,3.85546859,5.115142239,3.368966671,144.1612125,144.2411611,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.4,68.6,5.144891463,0.159313889,14.12047932,43.164,62.13010901,18.96610901,5.12407579,1,-0.44414819,1,0.159313889,,4.3,362.2232337,362.4803194,144.2411611,218.2391583
44,4.5,5.663316556,0,0,0,3.498450375,3.498450375,3.498450375,4.329033089,3.452519727,148.0079596,148.0879082,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.5,68.5,5.663316556,0.144508636,13.99180009,44.145,62.96310041,18.8181004,4.333356388,1,-0.541353977,1,0.144508636,,4.4,371.3649834,371.6192417,148.0879082,223.5313335
45,4.6,5.600846548,0,0,0,3.501238687,3.501238687,3.501238687,4.201825296,3.460370372,151.8577726,151.9377213,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.6,68.4,5.600846548,0.144571,13.96217453,45.126,64.22600284,19.10000284,4.206543729,1,-0.561652892,1,0.144571,,4.5,379.2664249,379.5179637,151.9377213,227.5802424
46,4.7,4.544913608,0,0,0,4.339731495,4.339731495,4.339731495,5.440520448,3.31554086,156.6295566,156.7095053,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.7,68.3,4.544913608,0.179128,14.19034462,46.107,66.69461971,20.58761971,5.461213188,1,-0.410082841,1,0.179128,,4.6,387.1011104,387.3500306,156.7095053,230.6405253
47,4.8,3.736445942,0,0,0,5.216090623,5.216090623,5.216090623,6.670319181,3.192406655,162.3649478,162.4448965,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.8,68.2,3.736445942,0.215222,14.33879127,47.088,68.8261981,21.7381981,6.734495714,1,-0.321648568,1,0.215222,,4.7,397.5155938,397.7619903,162.4448965,235.3170938
48,4.9,4.608238697,0,0,0,4.369014854,4.369014854,4.369014854,5.137154291,3.339535831,167.1689306,167.2488792,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,4.9,68.1,4.608238697,0.180204545,14.19044786,48.069,69.53319451,21.46419451,5.156091481,1,-0.434340051,1,0.180204545,,4.8,410.6251478,410.8691095,167.2488792,243.6202303
49,5,4.116362194,0,0,0,5.040032346,5.040032346,5.040032346,5.95204454,3.258141916,172.7107356,172.7906842,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,5,68,4.116362194,0.207805,14.3525099,49.05,71.7625495,22.7125495,5.989748113,1,-0.360549224,1,0.207805,,4.9,420.9550549,421.1966655,172.7906842,248.4059813
50,5.1,4.282913718,0,0,0,5.305136079,5.305136079,5.305136079,6.036553068,3.263322288,178.5440374,178.623986,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,5.1,67.9,4.282913718,0.218655,14.488968,50.031,73.8937368,23.8627368,6.066414947,1,-0.345610413,1,0.218655,,5,433.3515661,433.5909046,178.623986,254.9669186
51,5.2,4.717012211,0,0,0,5.172923545,5.172923545,5.172923545,5.586756226,3.315563487,184.2319639,184.3119125,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,5.2,67.8,4.717012211,0.213127222,14.53147768,51.012,75.56368394,24.55168394,5.60301845,1,-0.370825007,1,0.213127222,,5.1,446.5068757,446.7440167,184.3119125,262.4321042
52,5.3,5.365717894,0,0,0,4.6155506,4.6155506,4.6155506,4.649730227,3.413506913,189.3070268,189.3869754,0.051227746,0.032888143,0.207366201,0.216569866,316.4210167,492.8686753,0.994097002,3.36,0.083840203,9.621127502,0.98,5.3,67.7,5.365717894,0.190093,14.4166614,51.993,76.40830542,24.41530542,4.656288038,1,-0.457343886,1,0.190093,,5.2,459.1585476,459.3935614,189.3869754,270.006586
53,5.4,4.532095142,0,0,0,4.927603036,4.927603036,4.927603036,5.080289083,3.339293103,194.7252094,194.805158,0.052557372,0.033542709,0.212748428,0.220880207,322.7186797,505.6611766,0.994097002,3.36,0.083840203,9.621127502,0.98,5.4,67.6,4.532095142,0.20287,14.35956507,52.974,77.54165138,24.56765138,5.101356523,1,-0.422681704,1,0.20287,,5.3,469.9843071,963.0859397,194.805158,768.2807817
54,5.5,4.413224012,0,0,0,4.929427061,4.929427061,4.929427061,4.981427666,3.339593825,200.1453975,200.2253461,0.053323598,0.034137277,0.215850058,0.224795467,328.4390942,513.0331346,0.994097002,3.36,0.083840203,9.621127502,0.98,5.5,67.5,4.413224012,0.20287,14.3178352,53.955,78.7480936,24.7930936,5.006309757,1,-0.434693613,1,0.20287,,5.4,481.7550496,987.6471789,200.2253461,787.4218328
55,5.6,4.517133838,0,0,0,5.080557525,5.080557525,5.080557525,4.979213184,3.34564921,205.7317623,205.8117109,0.053655206,0.034730805,0.217192382,0.228703876,334.1495028,516.2235775,0.994097002,3.36,0.083840203,9.621127502,0.98,5.6,67.4,4.517133838,0.209012273,14.39504815,54.936,80.61226964,25.67626964,5.000726553,1,-0.427850456,1,0.209012273,,5.5,493.4885038,1006.750661,205.8117109,800.9389501
56,5.7,3.913274757,0,0,0,5.381359663,5.381359663,5.381359663,5.344691088,3.283608406,211.6488763,211.7288249,0.055037547,0.035189596,0.222787997,0.231725034,338.5635895,529.5232565,0.994097002,3.36,0.083840203,9.621127502,0.98,5.7,67.3,3.913274757,0.221305,14.3473532,55.917,81.77991324,25.86291324,5.394793907,1,-0.400766638,1,0.221305,,5.6,505.6788555,1022.129571,211.7288249,810.4007461
57,5.8,3.862729129,0,0,0,5.64972505,5.64972505,5.64972505,5.499811951,3.269987048,217.8610734,217.941022,0.055623676,0.035740349,0.225160604,0.235351765,343.8624543,535.1624783,0.994097002,3.36,0.083840203,9.621127502,0.98,5.8,67.2,3.862729129,0.232255,14.42334498,56.898,83.65540088,26.75740088,5.553588697,1,-0.382894707,1,0.232255,,5.7,518.7837369,1048.532302,217.941022,830.59128
