Reading,Depth,Cone,Friction,Pore 2,Slope x,Slope y
1661,3.072,0.1344,0.0045,0.0649,6.8210,5.1349
1662,3.082,0.1355,0.0045,0.0633,6.8215,5.1891
1663,3.092,0.1373,0.0043,0.0641,6.8119,5.1573
1664,3.101,0.1391,0.0042,0.0675,6.8291,5.1382
1665,3.112,0.1405,0.0042,0.0701,6.8196,5.1300
1666,3.121,0.1420,0.0041,0.0701,6.8215,5.1841
1667,3.132,0.1428,0.0040,0.0664,6.8419,5.1698
1668,3.142,0.1434,0.0039,0.0629,6.8604,5.1188
1669,3.152,0.1421,0.0039,0.0586,6.8741,5.1068
1670,3.162,0.1344,0.0039,0.0568,6.8499,5.0896
1671,3.172,0.1281,0.0037,0.0510,6.8573,5.1489
1672,3.183,0.1221,0.0035,0.0411,6.8671,5.0946
1673,3.193,0.1151,0.0034,0.0376,6.8408,5.0791
1674,3.202,0.1134,0.0032,0.0298,6.8715,5.0949
1675,3.212,0.1082,0.0033,0.0281,6.8518,5.0590
1676,3.223,0.1049,0.0032,0.0257,6.8749,5.0524
1677,3.232,0.1039,0.0033,0.0242,6.8859,5.0176
1678,3.242,0.0901,0.0039,0.0267,6.9090,5.0113
1679,3.252,0.0933,0.0039,0.0318,6.8886,5.0221
1680,3.263,0.1065,0.0036,0.0299,6.8702,5.0125
1681,3.272,0.1149,0.0037,0.0363,6.8819,5.0432
1682,3.283,0.1242,0.0037,0.0415,6.8909,5.0504
1683,3.292,0.1337,0.0034,0.0459,6.8832,5.0195
1684,3.303,0.1381,0.0035,0.0505,6.8943,5.0209
1685,3.312,0.1427,0.0036,0.0548,6.9054,4.9935
1686,3.323,0.1482,0.0036,0.0584,6.9140,4.9879
1687,3.332,0.1549,0.0036,0.0620,6.9250,5.0072
1688,3.343,0.1608,0.0037,0.0650,6.9238,4.9542
1689,3.353,0.1650,0.0038,0.0607,6.9446,4.9827
1690,3.363,0.1687,0.0036,0.0562,6.9201,4.9771
1691,3.373,0.1697,0.0037,0.0566,6.9522,4.9486
1692,3.384,0.1692,0.0039,0.0584,6.9563,4.9715
1693,3.393,0.1662,0.0041,0.0612,6.9584,4.9559
1694,3.403,0.1677,0.0044,0.0634,6.9448,4.9066
1695,3.414,0.1701,0.0045,0.0649,6.9722,4.8960
1696,3.424,0.1724,0.0046,0.0677,6.9874,4.8791
1697,3.433,0.1717,0.0046,0.0683,6.9940,4.8781
1698,3.444,0.1694,0.0048,0.0676,6.9661,4.9080
1699,3.453,0.1675,0.0049,0.0670,6.9858,4.8857
1700,3.464,0.1658,0.0049,0.0674,6.9706,4.8981
1701,3.474,0.1590,0.0050,0.0704,6.9866,4.8731
1702,3.485,0.1509,0.0052,0.0710,6.9821,4.8535
1703,3.494,0.1500,0.0051,0.0702,7.0089,4.8423
1704,3.505,0.1476,0.0052,0.0695,7.0136,4.8612
1705,3.514,0.1468,0.0050,0.0684,7.0195,4.8818
1706,3.525,0.1464,0.0050,0.0624,6.9931,4.8277
1707,3.534,0.1449,0.0050,0.0662,6.9985,4.8656
1708,3.545,0.1435,0.0051,0.0704,6.9917,4.8612
1709,3.554,0.1437,0.0051,0.0740,6.9994,4.8395
1710,3.565,0.1447,0.0051,0.0774,7.0043,4.8362
1711,3.574,0.1455,0.0051,0.0808,7.0034,4.8240
1712,3.584,0.1479,0.0052,0.0840,7.0328,4.7923
1713,3.594,0.1532,0.0051,0.0847,7.0468,4.7498
1714,3.605,0.1539,0.0051,0.0862,7.0588,4.7612
1715,3.614,0.1560,0.0050,0.0883,7.0518,4.7906
1716,3.625,0.1560,0.0049,0.0915,7.0592,4.7665
1717,3.634,0.1565,0.0049,0.0938,7.0766,4.7441
1718,3.645,0.1575,0.0048,0.0948,7.0620,4.7532
1719,3.654,0.1591,0.0046,0.0947,7.0780,4.7186
1720,3.665,0.1589,0.0047,0.0920,7.0838,4.7214
1721,3.674,0.1576,0.0047,0.0929,7.1223,4.7257
1722,3.685,0.1554,0.0047,0.0921,7.0930,4.7264
1723,3.695,0.1543,0.0046,0.0909,7.1236,4.6671
1724,3.704,0.1563,0.0046,0.0895,7.1029,4.6794
1725,3.715,0.1587,0.0047,0.0891,7.1105,4.6318
1726,3.724,0.1622,0.0047,0.0891,7.1384,4.6224
1727,3.735,0.1635,0.0048,0.0877,7.1245,4.6313
1728,3.744,0.1663,0.0047,0.0869,7.1467,4.6020
1729,3.755,0.1673,0.0047,0.0872,7.1413,4.6392
1730,3.764,0.1673,0.0048,0.0891,7.1645,4.6367
1731,3.775,0.1672,0.0048,0.0896,7.1522,4.6283
1732,3.785,0.1664,0.0048,0.0905,7.1652,4.6176
1733,3.795,0.1647,0.0049,0.0921,7.1450,4.6111
1734,3.806,0.1633,0.0048,0.0898,7.1568,4.6216
1735,3.815,0.1586,0.0046,0.0859,7.1419,4.6202
1736,3.826,0.1553,0.0045,0.0826,7.1375,4.5901
1737,3.835,0.1528,0.0043,0.0794,7.1414,4.5930
1738,3.846,0.1506,0.0044,0.0815,7.1637,4.6168
1739,3.855,0.1468,0.0045,0.0855,7.1554,4.6026
1740,3.866,0.1450,0.0046,0.0881,7.1584,4.5686
1741,3.875,0.1425,0.0046,0.0895,7.1524,4.5883
1742,3.886,0.1404,0.0047,0.0917,7.1541,4.5893
1743,3.895,0.1434,0.0048,0.0933,7.1752,4.6042
1744,3.906,0.1481,0.0047,0.0909,7.1650,4.5716
1745,3.915,0.1518,0.0047,0.0910,7.1734,4.5669
1746,3.926,0.1525,0.0048,0.0899,7.1673,4.5868
1747,3.935,0.1525,0.0048,0.0894,7.1859,4.5190
1748,3.945,0.1524,0.0048,0.0874,7.1795,4.5074
1749,3.956,0.1562,0.0048,0.0827,7.1859,4.5351
1750,3.965,0.1598,0.0046,0.0813,7.2043,4.5342
1751,3.976,0.1599,0.0045,0.0788,7.1782,4.4848
1752,3.986,0.1600,0.0046,0.0794,7.1747,4.5084
